timestamp,int,vehicleType,heading,dir,tot
2023-08-23T12:45:00Z,08:45-09:00,bicycle,WB,Peds,0
2023-08-23T12:45:00Z,08:45-09:00,bicycle,WB,R,0
2023-08-23T12:45:00Z,08:45-09:00,bicycle,WB,T,1
2023-08-23T12:45:00Z,08:45-09:00,bicycle,WB,L,2
2023-08-23T12:45:00Z,08:45-09:00,bicycle,NB,Peds,0
2023-08-23T12:45:00Z,08:45-09:00,bicycle,NB,R,0
2023-08-23T12:45:00Z,08:45-09:00,bicycle,NB,T,0
2023-08-23T12:45:00Z,08:45-09:00,bicycle,NB,L,0
2023-08-23T12:45:00Z,08:45-09:00,bicycle,EB,Peds,0
2023-08-23T12:45:00Z,08:45-09:00,bicycle,EB,R,0
2023-08-23T12:45:00Z,08:45-09:00,bicycle,EB,T,1
2023-08-23T12:45:00Z,08:45-09:00,bicycle,EB,L,0
2023-08-23T13:00:00Z,09:00-09:15,car,SB,Peds,10
2023-08-23T13:00:00Z,09:00-09:15,car,SB,R,2
2023-08-23T13:00:00Z,09:00-09:15,car,SB,T,63
2023-08-23T13:00:00Z,09:00-09:15,car,SB,L,2
2023-08-23T13:00:00Z,09:00-09:15,car,WB,Peds,12
2023-08-23T13:00:00Z,09:00-09:15,car,WB,R,4
2023-08-23T13:00:00Z,09:00-09:15,car,WB,T,23
2023-08-23T13:00:00Z,09:00-09:15,car,WB,L,3
2023-08-23T13:00:00Z,09:00-09:15,car,NB,Peds,5
2023-08-23T13:00:00Z,09:00-09:15,car,NB,R,7
2023-08-23T13:00:00Z,09:00-09:15,car,NB,T,58
2023-08-23T13:00:00Z,09:00-09:15,car,NB,L,4
2023-08-23T13:00:00Z,09:00-09:15,car,EB,Peds,7
2023-08-23T13:00:00Z,09:00-09:15,car,EB,R,3
2023-08-23T13:00:00Z,09:00-09:15,car,EB,T,7
2023-08-23T13:00:00Z,09:00-09:15,car,EB,L,0
2023-08-23T13:00:00Z,09:00-09:15,truck,SB,Peds,0
2023-08-23T13:00:00Z,09:00-09:15,truck,SB,R,0
2023-08-23T13:00:00Z,09:00-09:15,truck,SB,T,0
2023-08-23T13:00:00Z,09:00-09:15,truck,SB,L,0
2023-08-23T13:00:00Z,09:00-09:15,truck,WB,Peds,0
2023-08-23T13:00:00Z,09:00-09:15,truck,WB,R,0
2023-08-23T13:00:00Z,09:00-09:15,truck,WB,T,0
2023-08-23T13:00:00Z,09:00-09:15,truck,WB,L,0
2023-08-23T13:00:00Z,09:00-09:15,truck,NB,Peds,0
2023-08-23T13:00:00Z,09:00-09:15,truck,NB,R,0
2023-08-23T13:00:00Z,09:00-09:15,truck,NB,T,0
2023-08-23T13:00:00Z,09:00-09:15,truck,NB,L,0
2023-08-23T13:00:00Z,09:00-09:15,truck,EB,Peds,0
2023-08-23T13:00:00Z,09:00-09:15,truck,EB,R,0
2023-08-23T13:00:00Z,09:00-09:15,truck,EB,T,0
2023-08-23T13:00:00Z,09:00-09:15,truck,EB,L,0
